Invoice #,Qty,Item,Description,Warr,Net,Ext Price,Shop Supplies
IN001808,4,AUL1SENSOR,"TPMS",,60.00,240.00,N
IN001808,1,SS,"SHOP SUPPLIES",,20.00,20.00,Y
IN001779,1,TMBA,"OEM TIRE MOUNT & BALANCE",,99.00,99.00,N
IN001779,1,SS,"SHOP SUPPLIES",,25.00,25.00,Y
IN001787,1,TROT,"TIRE ROTATION",,38.00,38.00,N
IN001787,1,SS,"SHOP SUPPLIES",,15.00,15.00,Y
IN001812,,DISE,"DIAGNOSTICS SERVICE - POWER STEERING FLUID LEAKING - TIGHTEN BANJO FITTING AT THE PUMP",,N/C,N/C,N
IN001812,1,SS,"SHOP SUPPLIES",,N/C,N/C,Y
IN001786,1,5543152K,"SAILUN TERRAMAX HLT",,207.15,207.15,N
IN001786,1,TMBA,"OEM TIRE MOUNT & BALANCE",,31.50,31.50,N
IN001786,1,TREP,"TIRE REPAIR",,36.00,36.00,N
IN001786,1,REC,"RECYCLING CHARGE",,5.00,5.00,N
IN001786,1,MOIL,"OIL CHANGE LABOUR",,32.00,32.00,N
IN001786,1,108536,"MOTUL 0W20",,47.99,47.99,N
IN001786,1,MO108534,"0W20 SAVE LITE",,14.30,14.30,N
IN001786,1,REC,"RECYCLING CHARGE",,8.00,8.00,N
IN001786,1,SS,"SHOP SUPPLIES",,25.00,25.00,Y
IN001824,,EXSY,"EXHAUST SYSTEM SERVICE - INSTALL AFTERMARKET MIDPIPE PROVIDED BY CUSTOMER",,345.80,345.80,N
IN001824,1,SS,"SHOP SUPPLIES",,25.00,25.00,Y
IN001791,,VSSE,"VISION & SAFETY SERVICE - REMOVE DRIVER SIDE 2ND ROW SEAT AND INSTALL SRS SIMULATOR",,168.00,168.00,N
IN001791,1,SS,"SHOP SUPPLIES",,20.00,20.00,Y
IN001774,,BFSE,"FRONT BRAKES SERVICE",,159.60,159.60,N
IN001774,1,MMX1796,"PS OE+ BRAKE PAD",,104.90,104.90,N
IN001774,2,M61053F,"BRAKE ROTOR",,290.42,580.84,N
IN001774,,BRSE,"REAR BRAKES SERVICE",,159.60,159.60,N
IN001774,2,BD0438,"BRAKE ROTOR",,221.87,443.74,N
IN001774,1,MMS1872,"BRAKE PAD",,119.89,119.89,N
IN001774,2,19023,"PAD WEAR SENSOR",,24.22,48.44,N
